,year,precipitation
0,1990,65.8893071608972
1,1991,107.367478951628
2,1992,110.167836947774
3,1993,4.30945347920285
4,1994,-7.07229184472531
5,1995,-136.22732749972
6,1996,-8.26642831655327
7,1997,88.7033763015219
8,1998,17.3853388898195
9,1999,7.46958169205665
10,2000,110.682200127557
11,2001,101.027312693398
12,2002,112.738294041445
13,2003,-72.7598997010745
14,2004,-95.1044328079552
15,2005,-82.3594591285102
16,2006,-65.4675100586328
17,2007,-53.7712603037662
18,2008,-144.456185681466
19,2009,-137.914317391393
20,2010,-114.1513596562
21,2011,-141.598149421941
22,2012,-56.677110620555
23,2013,-190.517622687051
24,2014,38.2547731465419
25,2015,-11.5769439841451
26,2016,-39.3294827241853
27,2017,7.81161779859721
28,2018,-91.5748742183699
29,2019,-129.188841788703
30,2020,-237.249319759306
31,2021,-217.147944009265
32,2022,-268.398942253399
