,year,temperature
0,1979,-0.640288601
1,1980,-0.259872423
2,1981,0.426021521
3,1982,-0.891179213
4,1983,-0.399703505
5,1984,-0.591804849
6,1985,-0.666643745
7,1986,-0.523863811
8,1987,-0.013876456
9,1988,0.014189011
10,1989,-0.3858099
11,1990,-0.251728753
12,1991,-0.138173207
13,1992,-0.542392126
14,1993,-0.276404714
15,1994,-0.038802353
16,1995,-0.032744835
17,1996,-0.447356528
18,1997,-0.107825784
19,1998,0.818832484
20,1999,0.209554771
21,2000,0.045495685
22,2001,0.315953588
23,2002,0.196066005
24,2003,0.370857122
25,2004,-0.159778199
26,2005,0.628397301
27,2006,0.943732343
28,2007,0.342033984
29,2008,0.035311345
30,2009,0.215397179
31,2010,0.906245577
32,2011,0.376787345
33,2012,0.608715215
34,2013,0.244624607
35,2014,0.444824634
36,2015,0.736754529
37,2016,1.204932936
38,2017,0.836225813
39,2018,0.507292448
40,2019,0.880145475
41,2020,0.835479201
42,2021,0.845378953
43,2022,0.5843108
