"Category","Number of policies adopted","Number of measured policies in CAPMF 2023"
"1990-01-01 00:00:00",1,56
"1991-01-01 00:00:00",1,56
"1992-01-01 00:00:00",1,56
"1993-01-01 00:00:00",1,56
"1994-01-01 00:00:00",2,56
"1995-01-01 00:00:00",3,56
"1996-01-01 00:00:00",4,56
"1997-01-01 00:00:00",4,56
"1998-01-01 00:00:00",4,56
"1999-01-01 00:00:00",5,56
"2000-01-01 00:00:00",5,56
"2001-01-01 00:00:00",5,56
"2002-01-01 00:00:00",5,56
"2003-01-01 00:00:00",5,56
"2004-01-01 00:00:00",5,56
"2005-01-01 00:00:00",7,56
"2006-01-01 00:00:00",7,56
"2007-01-01 00:00:00",7,56
"2008-01-01 00:00:00",7,56
"2009-01-01 00:00:00",8,56
"2010-01-01 00:00:00",8,56
"2011-01-01 00:00:00",9,56
"2012-01-01 00:00:00",10,56
"2013-01-01 00:00:00",11,56
"2014-01-01 00:00:00",17,56
"2015-01-01 00:00:00",17,56
"2016-01-01 00:00:00",19,56
"2017-01-01 00:00:00",19,56
"2018-01-01 00:00:00",20,56
"2019-01-01 00:00:00",20,56
"2020-01-01 00:00:00",20,56
"2021-01-01 00:00:00",23,56
"2022-01-01 00:00:00",23,56
